Linguagem,Projetos,Linhas de Comentario,Linhas de Codigo
JavaScript,RocketChat | Rocket.Chat,5987,141420
JavaScript,angular | material,16833,50848
JavaScript,felixrieseberg | windows95,63,1917
JavaScript,tabler | tabler,15057,16732
JavaScript,github | fetch,20,2006
JavaScript,ReactTraining | react-router,327,10061
JavaScript,Reactive-Extensions | RxJS,32202,229834
JavaScript,chenglou | react-motion,256,3119
JavaScript,Dogfalo | materialize,4467,19941
JavaScript,bilibili | flv.js,1071,6829
JavaScript,mochajs | mocha,4031,20849
JavaScript,gorhill | uBlock,7414,85252
JavaScript,highlightjs | highlight.js,2279,21986
JavaScript,socketio | socket.io,685,4064
JavaScript,caolan | async,5774,14748
JavaScript,ianstormtaylor | slate,8966,45986
JavaScript,date-fns | date-fns,10205,63581
JavaScript,Tencent | wepy,2152,14979
JavaScript,lord | slate,2679,7922
JavaScript,mysqljs | mysql,605,13829
JavaScript,ant-design | ant-design-pro,348,17110
JavaScript,h5bp | html5-boilerplate,105,254
JavaScript,impress | impress.js,2278,6024
JavaScript,VincentGarreau | particles.js,132,1296
JavaScript,localForage | localForage,1996,12154
JavaScript,MrRio | jsPDF,17076,135605
JavaScript,ruanyf | es6tutorial,284,1723
JavaScript,rstacruz | nprogress,114,408
JavaScript,TryGhost | Ghost,8763,91545
JavaScript,immutable-js | immutable-js,1611,10259
JavaScript,bower | bower,1884,25712
JavaScript,facebook | flux,3181,7042
JavaScript,nosir | cleave.js,16213,15420
JavaScript,scrollreveal | scrollreveal,630,3413
JavaScript,GitbookIO | gitbook,2579,9198
JavaScript,facebook | draft-js,5015,23772
JavaScript,sequelize | sequelize,5975,74712
JavaScript,axios | axios,1086,5300
JavaScript,reduxjs | redux,394,7426
JavaScript,facebook | react,17239,160367
JavaScript,tj | commander.js,602,1484
JavaScript,wycats | handlebars.js,1205,9982
JavaScript,atlassian | react-beautiful-dnd,5987,58725
JavaScript,petkaantonov | bluebird,2920,34720
JavaScript,quilljs | quill,113,11490
JavaScript,yarnpkg | yarn,4398,38750
JavaScript,wagerfield | parallax,16,575
JavaScript,balena-io | etcher,5369,9921
JavaScript,naptha | tesseract.js,1838,7370
JavaScript,adobe | brackets,94926,301676
JavaScript,niklasvh | html2canvas,2245,13677
JavaScript,framework7io | framework7,3862,131265
JavaScript,less | less.js,3578,23170
JavaScript,bvaughn | react-virtualized,1569,22152
JavaScript,photonstorm | phaser,358703,312797
JavaScript,serverless | serverless,1711,52486
JavaScript,aosabook | 500lines,21403,28241
JavaScript,GoogleChrome | lighthouse,14526,50363
JavaScript,zenorocha | clipboard.js,381,1092
JavaScript,styled-components | styled-components,5380,28779
JavaScript,knsv | mermaid,1022,9246
JavaScript,paularmstrong | normalizr,38,1888
JavaScript,apache | incubator-echarts,146476,348251
JavaScript,nolimits4web | swiper,1076,26667
JavaScript,angular | angular.js,35068,231356
JavaScript,wekan | wekan,4031,28754
JavaScript,rollup | rollup,1375,49380
JavaScript,freeCodeCamp | freeCodeCamp,1082,32432
JavaScript,iamkun | dayjs,57,9120
JavaScript,select2 | select2,4517,36225
JavaScript,markedjs | marked,290,2613
JavaScript,pugjs | pug,902,6463
JavaScript,parcel-bundler | parcel,859,21734
JavaScript,yangshun | tech-interview-handbook,13,957
JavaScript,pixijs | pixi.js,14848,29077
JavaScript,mozilla | pdf.js,12550,81673
JavaScript,react-boilerplate | react-boilerplate,840,5772
JavaScript,postcss | postcss,2063,5730
JavaScript,Automattic | mongoose,15053,75025
JavaScript,lerna | lerna,1641,20664
JavaScript,trekhleb | javascript-algorithms,3565,12358
JavaScript,jaredhanson | passport,623,6173
JavaScript,benweet | stackedit,1444,16660
JavaScript,julianshapiro | velocity,3432,14060
JavaScript,jashkenas | backbone,3762,19223
JavaScript,vuejs | vue,17339,135723
JavaScript,sentsin | layui,3423,19352
JavaScript,postcss | autoprefixer,943,7258
JavaScript,Modernizr | Modernizr,6313,8090
JavaScript,swagger-api | swagger-ui,804,13972
JavaScript,jashkenas | underscore,1167,8251
JavaScript,atom | atom,9532,124360
JavaScript,ajaxorg | ace,68052,191685
JavaScript,feathericons | feather,96,414
JavaScript,juliangarnier | anime,536,9111
JavaScript,bevacqua | dragula,28,2589
JavaScript,moment | moment,4575,155991
JavaScript,vuejs | vuex,630,6705
JavaScript,thedaviddias | Front-End-Checklist,362,1455
JavaScript,codemirror | CodeMirror,4903,60023
JavaScript,cheeriojs | cheerio,360,5933
JavaScript,goldfire | howler.js,1991,5177
JavaScript,videojs | video.js,14917,61425
JavaScript,LisaDziuba | Awesome-Design-Tools,1,568
JavaScript,emberjs | ember.js,10994,98002
JavaScript,JedWatson | react-select,1113,14384
JavaScript,jorgebucaran | hyperapp,0,424
JavaScript,transloadit | uppy,2523,22132
JavaScript,dawnlabs | carbon,328,7320
JavaScript,keystonejs | keystone,58950,68457
JavaScript,SheetJS | js-xlsx,15162,113408
JavaScript,jiahaog | nativefier,257,3084
JavaScript,GoogleChrome | puppeteer,5794,21404
JavaScript,apache | incubator-superset,5506,15388
JavaScript,Unitech | pm2,3029,20444
JavaScript,alsotang | node-lessons,1903,3833
JavaScript,zeit | next.js,2114,29844
JavaScript,blueimp | jQuery-File-Upload,793,5093
JavaScript,alvarotrigo | fullPage.js,2358,10306
JavaScript,redux-saga | redux-saga,522,11352
JavaScript,algorithm-visualizer | algorithm-visualizer,11,1757
JavaScript,vuetifyjs | vuetify,930,26741
JavaScript,Leaflet | Leaflet,3793,16679
JavaScript,typicode | json-server,108,2489
JavaScript,jasmine | jasmine,2754,25313
JavaScript,nuxt | nuxt.js,2283,23499
JavaScript,hammerjs | hammer.js,1847,5185
JavaScript,dimsemenov | PhotoSwipe,864,6649
JavaScript,tastejs | todomvc,260295,1009376
JavaScript,gatsbyjs | gatsby,9843,116308
JavaScript,hubotio | hubot,754,3771
JavaScript,adam-p | markdown-here,5879,18122
JavaScript,Microsoft | monaco-editor,930,180510
JavaScript,ramda | ramda,12377,16194
JavaScript,Semantic-Org | Semantic-UI,3323,71339
JavaScript,MostlyAdequate | mostly-adequate-guide,235,1510
JavaScript,avajs | ava,592,15065
JavaScript,hexojs | hexo,492,17481
JavaScript,resume | resume.github.com,14,489
JavaScript,Marak | faker.js,49488,852007
JavaScript,react-navigation | react-navigation,192,1571
JavaScript,mojs | mojs,6882,39130
JavaScript,request | request,401,9804
JavaScript,koajs | koa,962,4239
JavaScript,ruanyf | react-demos,10989,27961
JavaScript,kenwheeler | slick,61,2144
JavaScript,visionmedia | superagent,2200,8843
JavaScript,storybooks | storybook,1470,34866
JavaScript,reduxjs | reselect,19,482
JavaScript,nylas | nylas-mail,7783,53588
JavaScript,twbs | bootstrap,3481,30612
JavaScript,react-bootstrap | react-bootstrap,1647,17660
JavaScript,enyo | dropzone,1231,4767
JavaScript,developit | preact,1337,15375
JavaScript,lodash | lodash,6683,22951
JavaScript,react-native-training | react-native-elements,232,8389
JavaScript,zeit | hyper,24405,103271
JavaScript,reduxjs | react-redux,398,4912
JavaScript,mrdoob | three.js,25860,220208
JavaScript,Meituan-Dianping | mpvue,15092,112878
JavaScript,NervJS | taro,3594,83019
JavaScript,defunkt | jquery-pjax,5801,23681
JavaScript,sahat | hackathon-starter,304,1924
JavaScript,twitter | typeahead.js,425,11434
JavaScript,jquery | jquery,18699,56610
JavaScript,jaywcjlove | awesome-mac,27,237
JavaScript,expressjs | express,2442,11730
JavaScript,30-seconds | 30-seconds-of-code,170,13983
JavaScript,babel | babel,6508,110814
JavaScript,chartjs | Chart.js,2960,34197
JavaScript,Popmotion | popmotion,1240,20241
JavaScript,statsd | statsd,366,3726
JavaScript,mui-org | material-ui,8815,121657
JavaScript,airbnb | enzyme,1784,7248
JavaScript,facebook | react-native,26905,133005
JavaScript,airbnb | lottie-web,3696,85563
JavaScript,angular-ui | bootstrap,1534,23788
JavaScript,prettier | prettier,6877,65740
JavaScript,webpack | webpack,6965,62541
JavaScript,airbnb | javascript,787,1404
JavaScript,SortableJS | Sortable,279,2020
JavaScript,kriskowal | q,1282,6612
JavaScript,ovity | octotree,745,3423
JavaScript,kriasoft | react-starter-kit,1009,2706
JavaScript,balderdashy | sails,7988,24431
JavaScript,meteor | meteor,39455,201901
JavaScript,vuejs | vue-cli,2034,23746
JavaScript,mobxjs | mobx,194,11089
JavaScript,facebook | create-react-app,2539,11356
JavaScript,NARKOZ | hacker-scripts,51,222
JavaScript,hakimel | reveal.js,2601,8443
JavaScript,parse-community | parse-server,3590,71165
JavaScript,segmentio | nightmare,727,4235
JavaScript,FortAwesome | Font-Awesome,240,78308
JavaScript,remy | nodemon,4127,10999
JavaScript,JacksonTian | fks,15058,32453
JavaScript,webtorrent | webtorrent,605,4525
JavaScript,facebook | jest,27324,115052
JavaScript,gulpjs | gulp,101,349
JavaScript,sveltejs | svelte,350,19487
