Linguagems,Diferenca Percentual
C#-PHP,14.14
C#-Java,1.65
C#-Visual Basic,27.79
C#-C,2.87
C#-JavaScript,41.16
PHP-C#,14.14
PHP-Java,15.85
PHP-Visual Basic,38.10
PHP-C,12.40
PHP-JavaScript,49.34
Java-C#,1.65
Java-PHP,15.85
Java-Visual Basic,30.38
Java-C,4.74
Java-JavaScript,44.92
Visual Basic-C#,27.79
Visual Basic-PHP,38.10
Visual Basic-Java,30.38
Visual Basic-C,31.02
Visual Basic-JavaScript,23.67
C-C#,2.87
C-PHP,12.40
C-Java,4.74
C-Visual Basic,31.02
C-JavaScript,44.20
JavaScript-C#,41.16
JavaScript-PHP,49.34
JavaScript-Java,44.92
JavaScript-Visual Basic,23.67
JavaScript-C,44.20
